Time,User,Checklist,Event, checked
2022-1-4_14-12-31,177575,skridskor,1. Patins,9
2022-1-4_14-12-35,177575,skridskor,3. Skridskorskydd,9
2022-1-4_14-12-37,177575,skridskor,2. Gants,9
2022-1-4_14-12-40,177575,skridskor,checkbox_0,1
2022-1-4_14-12-49,110911,skridskor,checkbox_0,0
2022-1-4_14-12-50,110911,skridskor,checkbox_0,1
2022-1-4_14-12-51,110911,skridskor,checkbox_1,1
2022-1-4_14-12-53,110911,skridskor,checkbox_2,1
2022-1-4_14-12-54,110911,skridskor,checkbox_3,1
