Time,User,Checklist,Event, checked
2022-1-9_17-42-4,177575,mall,1. Åtgärd 1,9
2022-1-9_17-42-7,177575,mall,2. Åtgärd 2,9
2022-1-9_17-42-8,177575,mall,3. Åtgärd 3,9
2022-1-9_17-42-10,177575,mall,4. Åtgärd 4,9
2022-1-9_17-42-11,177575,mall,5. Åtgärd 5,9
2022-1-9_17-42-12,177575,mall,6. Åtgärd 6,9
2022-1-9_17-42-14,177575,mall,7. Åtgärd 7,9
2022-1-9_17-42-15,177575,mall,8. Åtgärd 8,9
